ShowId,Genre
1,1
1,11
1,26
2,8
2,16
2,19
2,30
3,9
3,15
3,25
3,32
4,8
4,10
4,17
4,24
4,30
4,31
5,13
5,24
5,33
6,1
6,7
6,11
6,16
6,26
7,11
7,13
7,16
7,18
7,23
7,27
7,30
8,4
8,10
8,22
8,28
9,4
9,5
10,9
10,15
10,20
10,25
11,3
11,16
11,23
11,24
11,27
12,1
12,11
12,13
12,29
12,30
13,2
13,3
13,4
13,10
13,23
14,5
14,25
15,1
15,8
15,14
15,26
16,1
16,3
16,5
17,6
17,21
17,25
18,4
18,5
18,22
19,8
19,19
20,1
20,3
20,11
20,12
20,13
20,16
21,1
21,3
21,12
21,24
21,31
22,13
22,16
22,27
22,30
